"domainID","siteID","horizontalPosition","verticalPosition","startDateTime","endDateTime","VSWCMean","VSWCMinimum","VSWCMaximum","VSWCVariance","VSWCNumPts","VSWCExpUncert","VSWCStdErMean","VSWCRangeFailQM","VSWCRangePassQM","VSWCRangeNAQM","VSWCPersistenceFailQM","VSWCPersistencePassQM","VSWCPersistenceNAQM","VSWCStepFailQM","VSWCStepPassQM","VSWCStepNAQM","VSWCNullFailQM","VSWCNullPassQM","VSWCNullNAQM","VSWCGapFailQM","VSWCGapPassQM","VSWCGapNAQM","VSWCSpikeFailQM","VSWCSpikePassQM","VSWCSpikeNAQM","VSWCValidCalFailQM","VSWCValidCalPassQM","VSWCValidCalNAQM","VSWCAlphaQM","VSWCBetaQM","VSWCFinalQF","VSWCFinalQFSciRvw","VSICMean","VSICMinimum","VSICMaximum","VSICVariance","VSICNumPts","VSICExpUncert","VSICStdErMean","VSICRangeFailQM","VSICRangePassQM","VSICRangeNAQM","VSICPersistenceFailQM","VSICPersistencePassQM","VSICPersistenceNAQM","VSICStepFailQM","VSICStepPassQM","VSICStepNAQM","VSICNullFailQM","VSICNullPassQM","VSICNullNAQM","VSICGapFailQM","VSICGapPassQM","VSICGapNAQM","VSICSpikeFailQM","VSICSpikePassQM","VSICSpikeNAQM","VSICValidCalFailQM","VSICValidCalPassQM","VSICValidCalNAQM","VSICAlphaQM","VSICBetaQM","VSICFinalQF","VSICFinalQFSciRvw","tempFailQM","tempPassQM","tempNAQM","calDefaultQM","calNEONQM","calNAQM","publicationDate","release","sf","correctedVSWCMean","correctedVSWCFinalQF","correctedVSWCExpUncert"
"D17","SJER","001","501",2022-05-01,2022-05-01 00:30:00,0.0387,0.0387,0.0388,0,147,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,18,82,0,NA,NA,NA,18,0,1,NA,1451.929,1451.053,1452.523,0.092,146,0.05,0.025,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,19,81,0,NA,NA,NA,19,0,1,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.36660511903621,0.124012723902595,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 00:30:00,2022-05-01 01:00:00,0.0386,0.0385,0.0387,0,137,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,19,81,0,NA,NA,NA,19,0,1,NA,1452.02,1451.053,1459.891,2.275,127,0.268,0.134,1,95,4,0,96,4,24,71,4,4,96,0,0,100,0,11,84,4,NA,NA,NA,29,0,1,NA,0,96,4,96,0,4,"20221210T224632Z","RELEASE-2024",0.366251910488501,0.123823868276705,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 01:00:00,2022-05-01 01:30:00,0.0386,0.0385,0.0389,0,169,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,6,94,0,NA,NA,NA,6,0,0,NA,1450.584,1449.586,1459.153,1.011,161,0.159,0.079,0,99,1,0,99,1,4,96,1,1,99,0,0,100,0,8,91,1,NA,NA,NA,11,0,1,NA,0,99,1,99,0,1,"20221210T224632Z","RELEASE-2024",0.366251910488501,0.123823868276705,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 01:30:00,2022-05-01 02:00:00,0.0385,0.0384,0.039,0,153,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,15,85,0,NA,NA,NA,15,0,1,NA,1450.206,1449.586,1450.32,0.071,142,0.045,0.022,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,21,79,0,NA,NA,NA,21,0,1,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.365898156150107,0.123634829324089,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 02:00:00,2022-05-01 02:30:00,0.0385,0.0383,0.0394,0,170,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,6,94,0,NA,NA,NA,6,0,0,NA,1449.521,1448.852,1451.788,0.309,180,0.083,0.041,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.365898156150107,0.123634829324089,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 02:30:00,2022-05-01 03:00:00,0.0385,0.0383,0.0393,0,178,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,1,99,0,NA,NA,NA,1,0,0,NA,1448.38,1447.386,1448.852,0.148,180,0.057,0.029,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.365898156150107,0.123634829324089,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 03:00:00,2022-05-01 03:30:00,0.0388,0.0382,0.0394,0,180,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,1447.236,1445.921,1448.119,0.43,180,0.098,0.049,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.366957784042365,0.124201396862755,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 03:30:00,2022-05-01 04:00:00,0.039,0.0382,0.0395,0,180,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,1444.91,1442.996,1447.386,1.209,180,0.164,0.082,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.367661492351491,0.124578197409423,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 04:00:00,2022-05-01 04:30:00,0.0389,0.0382,0.0395,0,180,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,1442.1,1440.806,1442.996,0.488,180,0.104,0.052,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.36730990774106,0.124389887814085,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 04:30:00,2022-05-01 05:00:00,0.0389,0.0383,0.0394,0,180,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,1439.846,1438.619,1440.806,0.442,180,0.099,0.05,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.36730990774106,0.124389887814085,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 05:00:00,2022-05-01 05:30:00,0.0389,0.0382,0.0394,0,180,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,1437.911,1436.435,1439.348,0.37,180,0.091,0.045,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.36730990774106,0.124389887814085,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 05:30:00,2022-05-01 06:00:00,0.0387,0.0381,0.0393,0,180,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,1435.635,1434.254,1437.163,0.538,180,0.109,0.055,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.36660511903621,0.124012723902595,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 06:00:00,2022-05-01 06:30:00,0.0388,0.0382,0.0392,0,180,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,1433.201,1431.351,1434.254,0.637,180,0.119,0.059,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.366957784042365,0.124201396862755,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 06:30:00,2022-05-01 07:00:00,0.0388,0.038,0.0393,0,179,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,1431.281,1429.901,1440.806,1.415,176,0.179,0.09,0,99,1,0,99,1,2,98,1,1,99,0,0,100,0,1,99,1,NA,NA,NA,2,0,0,NA,0,99,1,99,0,1,"20221210T224632Z","RELEASE-2024",0.366957784042365,0.124201396862755,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 07:00:00,2022-05-01 07:30:00,0.0387,0.038,0.0392,0,180,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,1429.067,1427.729,1434.254,0.933,177,0.145,0.073,0,100,0,0,100,0,2,98,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,2,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.36660511903621,0.124012723902595,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 07:30:00,2022-05-01 08:00:00,0.0386,0.0379,0.0391,0,180,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,1427.135,1425.561,1428.453,0.398,180,0.094,0.047,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.366251910488501,0.123823868276705,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 08:00:00,2022-05-01 08:30:00,0.0384,0.0377,0.0391,0,180,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,1424.818,1423.395,1426.283,0.614,180,0.117,0.058,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.365543853756722,0.123445606379613,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 08:30:00,2022-05-01 09:00:00,0.0384,0.0379,0.0388,0,180,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,1422.75,1421.953,1424.116,0.276,180,0.078,0.039,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.365543853756722,0.123445606379613,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 09:00:00,2022-05-01 09:30:00,0.0384,0.038,0.0388,0,176,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,2,98,0,NA,NA,NA,2,0,0,NA,1420.568,1419.073,1421.953,0.547,180,0.11,0.055,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.365543853756722,0.123445606379613,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 09:30:00,2022-05-01 10:00:00,0.0384,0.0379,0.0385,0,178,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,1,99,0,NA,NA,NA,1,0,0,NA,1418.07,1416.917,1419.073,0.638,180,0.119,0.06,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.365543853756722,0.123445606379613,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 10:00:00,2022-05-01 10:30:00,0.0383,0.0378,0.0386,0,179,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,1,99,0,NA,NA,NA,1,0,0,NA,1415.524,1414.046,1416.917,0.588,180,0.114,0.057,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.365189001028717,0.123256198773977,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 10:30:00,2022-05-01 11:00:00,0.0383,0.0379,0.0385,0,168,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,7,93,0,NA,NA,NA,7,0,0,NA,1413.003,1411.896,1414.763,0.599,180,0.115,0.058,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.365189001028717,0.123256198773977,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 11:00:00,2022-05-01 11:30:00,0.0383,0.0378,0.0388,0,180,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,1410.871,1409.75,1411.896,0.332,180,0.086,0.043,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.365189001028717,0.123256198773977,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 11:30:00,2022-05-01 12:00:00,0.0381,0.0375,0.0384,0,180,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,1409.361,1408.321,1410.465,0.55,180,0.111,0.055,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.364477635372878,0.122876826880931,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 12:00:00,2022-05-01 12:30:00,0.0382,0.0376,0.0384,0,173,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,4,96,0,NA,NA,NA,4,0,0,NA,1406.996,1405.466,1408.321,0.559,180,0.111,0.056,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.364833595671003,0.123066605833668,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 12:30:00,2022-05-01 13:00:00,0.0382,0.0375,0.0383,0,178,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,1,99,0,NA,NA,NA,1,0,0,NA,1404.785,1404.041,1406.179,0.385,180,0.092,0.046,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.364833595671003,0.123066605833668,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 13:00:00,2022-05-01 13:30:00,0.0381,0.0371,0.0383,0,179,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,1,99,0,NA,NA,NA,1,0,0,NA,1402.692,1401.195,1404.041,0.376,180,0.091,0.046,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.364477635372878,0.122876826880931,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 13:30:00,2022-05-01 14:00:00,0.038,0.0372,0.0382,0,179,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,1,99,0,NA,NA,NA,1,0,0,NA,1399.774,1398.354,1401.906,0.553,180,0.111,0.055,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.364121117807886,0.122686861233725,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 14:00:00,2022-05-01 14:30:00,0.0378,0.0372,0.0382,0,180,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,1398.07,1397.644,1399.063,0.189,180,0.065,0.032,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.363406401491793,0.122306367106098,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 14:30:00,2022-05-01 15:00:00,0.0377,0.0371,0.0381,0,180,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,1397.009,1396.227,1397.644,0.157,174,0.06,0.03,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,3,97,0,NA,NA,NA,3,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.363048198007644,0.122115837239827,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 15:00:00,2022-05-01 15:30:00,0.0378,0.037,0.0381,0,180,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,1396.227,1396.227,1396.227,0,176,0,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,2,98,0,NA,NA,NA,2,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.363406401491793,0.122306367106098,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 15:30:00,2022-05-01 16:00:00,0.0378,0.0369,0.0381,0,178,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,1,99,0,NA,NA,NA,1,0,0,NA,1396.162,1395.518,1396.227,0.042,153,0.033,0.017,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,15,85,0,NA,NA,NA,15,0,1,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.363406401491793,0.122306367106098,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 16:00:00,2022-05-01 16:30:00,0.0376,0.0368,0.0381,0,180,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,1396.227,1396.227,1396.227,0,163,0,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,9,91,0,NA,NA,NA,9,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.362689427790222,0.121925117907313,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 16:30:00,2022-05-01 17:00:00,0.0376,0.0368,0.0386,0,180,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,1396.881,1396.227,1396.936,0.036,169,0.029,0.015,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,6,94,0,NA,NA,NA,6,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.362689427790222,0.121925117907313,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 17:00:00,2022-05-01 17:30:00,0.0375,0.0368,0.0382,0,180,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,1397.231,1396.936,1397.644,0.123,144,0.058,0.029,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,20,80,0,NA,NA,NA,20,0,1,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.362330088432012,0.121734208404508,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 17:30:00,2022-05-01 18:00:00,0.0373,0.0368,0.0383,0,180,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,1397.644,1397.644,1397.644,0,170,0,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,6,94,0,NA,NA,NA,6,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.361609692579609,0.121351816049196,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 18:00:00,2022-05-01 18:30:00,0.0374,0.0368,0.0383,0,180,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,1397.644,1397.644,1397.644,0,171,0,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,5,95,0,NA,NA,NA,5,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.361970177508819,0.121543108022846,0,0.050030838876173
"D17","SJER","001","501",2022-05-01 18:30:00,2022-05-01 19:00:00,0.0374,0.0368,0.0379,0,180,0.2135,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,NA,NA,NA,0,0,0,NA,1398.16,1397.644,1399.063,0.25,176,0.075,0.038,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,2,98,0,NA,NA,NA,2,0,0,NA,0,100,0,100,0,0,"20221210T224632Z","RELEASE-2024",0.361970177508819,0.121543108022846,0,0.050030838876173
