LI-6800,CHAMBER,LI-6800,,LI-6800,LI-6800,LI-6800,LI-6800,CHAMBER,CHAMBER,LI-6800,LI-6800
DOY initial_value,TA initial_value,PA initial_value,VOLUME_TOTAL,FCO2_DRY,FCO2_DRY dCdt,DATE_TIME initial_value,H2O initial_value,TS initial_value,AREA,FCO2_DRY LIN,FCO2_DRY LIN_dCdt
[#],[C],[kPa],[cm+3],[umol+1m-2s-1],[#],[YYYY-MM-DD HH:MM:SS],[mmol+1mol-1],[C],[cm+2],[umol+1m-2s-1],[#]
145.667120,33.918640,90.130000,6462.040000,0.896290,0.125890,2022/05/25 16:00:39,8.239000,40.975000,317.800000,0.719690,0.101090
145.669930,33.778470,90.140000,6462.040000,0.769110,0.107930,2022/05/25 16:04:42,7.811000,41.056710,317.800000,0.678450,0.095210
145.672730,35.176790,90.150000,6462.040000,0.738760,0.104110,2022/05/25 16:08:44,7.675000,41.600000,317.800000,0.625600,0.088160
145.675540,34.794500,90.150000,6462.040000,0.651240,0.091640,2022/05/25 16:12:46,7.388000,42.100000,317.800000,0.594850,0.083700
145.678340,35.567240,90.150000,6462.040000,0.589990,0.083250,2022/05/25 16:16:48,7.683000,42.600000,317.800000,0.569380,0.080340
145.681150,34.969010,90.150000,6462.040000,0.626310,0.088180,2022/05/25 16:20:51,7.409000,43.200000,317.800000,0.568200,0.080000
145.683950,36.661140,90.160000,6462.040000,0.608820,0.086180,2022/05/25 16:24:53,7.386000,43.800000,317.800000,0.563150,0.079710
145.686760,36.737700,90.170000,6462.040000,0.605890,0.085780,2022/05/25 16:28:55,7.403000,44.300000,317.800000,0.575170,0.081430
