LI-8250,LI-8250,LI-8250,LI-8250,CHAMBER,CHAMBER,CHAMBER,CHAMBER,CHAMBER,LI-8250,LI-870,LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,FLUX_LI-870,CHAMBER,CHAMBER
DATE,TIME,DOY,PORT,H,V,LATITUDE,LONGITUDE,TA,PA,CO2_DRY,H2O,FCO2,FCO2_dCdt,FCO2_CV,FCO2_R2,FCO2_SEI,FCO2_SES,FCO2_A,FCO2_Cx,FCO2_C0,FCO2_T0,FCO2_ITER,FCO2_N,SWC_1,TS_1
[YYYYMMDD],[HHMMSS],[#],[#],[#],[#],[degrees],[degrees],[C],[kPa],[umol+1mol-1],[mmol+1mol-1],[umol+1m-2s-1],[umol+1mol-1s-1],[#],[#],[#],[#],[#],[umol+1mol-1],[umol+1mol-1],[s],[#],[#],[m+3m-3],[C]
20240521,004149,142.029,1,1,1,46.3056,-89.1815,17.52,95.5687,788.617,12.7252,-0.0987222,-0.0182594,37.4778,0.0747379,0,0.00684025,2.31537e-05,0,788.617,355.235,4,90,0,19.0595
20240521,004504,142.031,1,1,1,46.3056,-89.1815,17.49,95.5663,791.434,12.6919,9.89396,1.82965,4.0898,0.317431,0,0.0720398,0.0608751,821.49,791.434,38.5408,8,90,0,18.9471
20240521,004819,142.034,1,1,1,46.3056,-89.1815,17.43,95.5618,788.711,12.6618,-0.341278,-0.0631019,10.333,0.518293,0,0.00648286,8.00064e-05,0,788.711,131.104,10,90,0,18.8347
20240521,005134,142.036,1,1,1,46.3056,-89.1815,17.43,95.5455,784.719,12.7097,-0.196388,-0.0363169,22.0149,0.190434,0,0.00798503,4.62801e-05,0,784.719,188.566,2,90,0,18.7719
20240521,093041,142.396,1,1,1,46.2328,-89.5381,14.83,94.9847,459.636,15.2285,3.11647,0.427743,1.19734,0.996595,0,0.00188523,0.00100375,885.78,459.636,-11.2415,3,140,0.263,13.5
20240521,100041,142.417,1,1,1,46.2328,-89.5381,15.22,94.9715,452.455,15.8956,3.06578,0.421737,1.19253,0.996994,0,0.00180235,0.000727358,1032.28,452.455,-12.9189,3,140,0.264,13.5
20240521,103041,142.438,1,1,1,46.2328,-89.5381,15.24,94.9655,457.446,16.0805,3.04666,0.419217,1.19868,0.996773,0,0.00186206,0.00072093,1038.94,457.446,-10.0709,2,140,0.265,13.5989
20240521,110041,142.459,1,1,1,46.2328,-89.5381,15.25,94.9423,477.225,16.2428,2.98477,0.4109,1.20947,0.99646,0,0.00193877,0.00056188,1208.52,477.225,-19.0087,3,140,0.265337,13.6
20240521,113041,142.48,1,1,1,46.2328,-89.5381,15.04,94.9177,450.846,16.1247,2.89475,0.398259,1.23233,0.995839,0,0.00209898,0.000366832,1536.52,450.846,-7.23528,2,140,0.266,13.6
20240521,120041,142.5,1,1,1,46.2328,-89.5381,14.84,94.8155,457.3,16.1296,3.77927,0.520164,1.17589,0.997637,0,0.00194115,0.000897599,1036.81,457.3,-6.66974,2,140,0.266,13.6
20240521,123041,142.521,1,1,1,46.2328,-89.5381,14.91,94.736,461.209,16.289,3.5055,0.483072,1.18322,0.997522,0,0.00190059,0.000640686,1215.2,461.209,-7.70888,2,140,0.272657,13.6
20240521,130041,142.542,1,1,1,46.2328,-89.5381,15.08,94.6283,443.307,16.4761,3.37472,0.465937,1.19157,0.997313,0,0.00193372,0.000537286,1310.51,443.307,-6.45764,2,140,0.31663,13.7
20240521,133041,142.563,1,1,1,46.2328,-89.5381,15.45,94.5775,441.418,16.8933,3.30301,0.457067,1.17705,0.997837,0,0.00169143,0.000622788,1175.32,441.418,-0.181,2,140,0.33,13.8
20240521,140041,142.584,1,1,1,46.2328,-89.5381,15.22,94.3942,432.663,16.7825,3.21238,0.444972,1.18676,0.997599,0,0.00175423,0.000517146,1293.1,432.663,-1.0903,2,140,0.334,13.8
20240521,143041,142.605,1,1,1,46.2328,-89.5381,15.11,94.1423,430.79,16.7345,3.07066,0.426316,1.20743,0.997072,0,0.00190023,0.000308971,1810.58,430.79,-0.540993,2,140,0.335,13.9
20240521,150041,142.625,1,1,1,46.2328,-89.5381,15,94.335,447.067,16.6928,3.08436,0.427155,1.21156,0.996825,0,0.00197252,0.000342302,1694.96,447.067,-5.53094,2,140,0.334,13.9
20240521,153041,142.646,1,1,1,46.2328,-89.5381,15.48,94.2698,438.779,17.0986,3.1812,0.4418,1.20039,0.997143,0,0.00190057,0.000497271,1327.23,438.779,-5.34063,2,140,0.333,14
20240521,160041,142.667,1,1,1,46.2328,-89.5381,15.93,94.1825,436.914,17.4586,3.17728,0.442488,1.1922,0.997432,0,0.0017912,0.000557004,1231.32,436.914,-6.28605,2,140,0.332,14.1
20240521,163041,142.688,1,1,1,46.2328,-89.5381,16.67,94.217,442.857,17.9113,3.25983,0.455221,1.19791,0.997158,0,0.00192513,0.000653712,1139.22,442.857,0.0485193,2,140,0.331,14.2
20240521,170041,142.709,1,1,1,46.2328,-89.5381,15.78,94.1835,445.704,17.5232,3.24571,0.451826,1.18244,0.997696,0,0.00169376,0.000795861,1013.42,445.704,0.139056,2,140,0.33,14.3
20240521,173041,142.73,1,1,1,46.2328,-89.5381,15.59,94.1267,442.649,17.0622,3.09453,0.430562,1.20165,0.997255,0,0.00185103,0.000319501,1790.26,442.649,-9.00663,2,140,0.329,14.2
