site,start_year,start_month
BONA,2017,10
CLBJ,2017,07
CPER,2014,02
GUAN,2018,05
HARV,2014,10
KONZ,2015,06
NIWO,2017,07
ONAQ,2015,06
ORNL,2015,04
OSBS,2014,08
PUUM,2019,05
SCBI,2014,12
SJER,2018,09
SRER,2017,07
TALL,2015,04
TOOL,2017,07
UNDE,2014,12
WOOD,2015,06
WREF,2018,05
YELL,2018,09
ABBY,2016,04
BARR,2017,07
BART,2014,10
BLAN,2014,09
DCFS,2017,07
DEJU,2017,01
DELA,2014,12
DSNY,2014,09
GRSM,2017,08
HEAL,2016,05
JERC,2014,09
JORN,2014,09
KONA,2015,06
LAJA,2015,06
LENO,2016,05
MLBS,2015,09
MOAB,2015,06
NOGP,2017,06
OAES,2015,01
RMNP,2014,12
SERC,2016,02
SOAP,2017,08
STEI,2017,08
STER,2013,12
TEAK,2018,06
TREE,2017,06
UKFS,2016,01
